group,trial,projection_seed,label,text,from_checkpoint,to_checkpoint,route_stability,node_jaccard,edge_jaccard,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,added_node_persistence,added_edge_persistence,current_nodes,current_edges
異なる射影,5,20265849,学習文,今日は晴れて気持ちいい,0,1,0.96080163,0.96875,0.95652174,1.0,1.0,1,0,1,0,1.0,1.0,32,23
異なる射影,5,20265849,類似文,今日の天気は最高だ,0,1,0.97173913,1.0,0.95652174,1.0,1.0,0,0,1,0,0.0,1.0,31,23
異なる射影,5,20265849,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,28,20
異なる射影,5,20265849,学習文,今日は晴れて気持ちいい,1,5,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,1.0,1.0,34,25
異なる射影,5,20265849,類似文,今日の天気は最高だ,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,23
異なる射影,5,20265849,無関係文,犬は公園を走っている,1,5,0.95697865,0.96551724,0.95238095,1.0,1.0,1,0,1,0,1.0,1.0,29,21
異なる射影,5,20265849,学習文,今日は晴れて気持ちいい,5,10,0.9109127,0.94444444,0.89285714,1.0,1.0,2,0,3,0,1.0,1.0,36,28
異なる射影,5,20265849,類似文,今日の天気は最高だ,5,10,0.9370625,0.96875,0.92,1.0,1.0,1,0,2,0,1.0,1.0,32,25
異なる射影,5,20265849,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,21
異なる射影,5,20265849,学習文,今日は晴れて気持ちいい,10,20,0.86651515,0.9,0.84848485,1.0,1.0,4,0,5,0,1.0,1.0,40,33
異なる射影,5,20265849,類似文,今日の天気は最高だ,10,20,0.88975659,0.94117647,0.86206897,1.0,1.0,2,0,4,0,1.0,1.0,34,29
異なる射影,5,20265849,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,21
異なる射影,5,20265849,学習文,今日は晴れて気持ちいい,20,50,0.89791155,0.90909091,0.89189189,1.0,1.0,4,0,4,0,0.0,0.0,44,37
異なる射影,5,20265849,類似文,今日の天気は最高だ,20,50,0.91068412,0.91891892,0.90625,1.0,1.0,3,0,3,0,0.0,0.0,37,32
異なる射影,5,20265849,無関係文,犬は公園を走っている,20,50,0.85308555,0.90322581,0.82608696,0.96551724,0.9047619,2,1,2,2,0.0,0.0,30,21
