group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,2,4,雨中心クラスタ,205,373,0001100000
固定射影,2,4,雨中心クラスタ,301,382,0010100100
固定射影,2,4,雨中心クラスタ,301,396,0010100100
固定射影,2,4,雨中心クラスタ,304,382,0010100100
固定射影,2,4,雨中心クラスタ,308,485,0000100000
固定射影,2,4,雨中心クラスタ,308,490,0000100001
固定射影,2,4,雨中心クラスタ,313,469,0000100000
固定射影,2,4,雨中心クラスタ,395,400,0000100000
固定射影,2,4,雨中心クラスタ,395,479,0000100000
固定射影,2,4,雨中心クラスタ,400,479,0000100000
固定射影,2,4,雨中心クラスタ,405,489,0000100000
固定射影,2,4,雨中心クラスタ,405,587,0000110000
固定射影,2,4,雨中心クラスタ,467,477,0000110000
固定射影,2,4,雨中心クラスタ,477,587,0000110000
固定射影,3,0,混合・補助クラスタ,4,429,0000000010
固定射影,3,0,混合・補助クラスタ,4,554,0000000010
固定射影,3,0,混合・補助クラスタ,33,121,1000001000
固定射影,3,0,混合・補助クラスタ,33,463,1000000000
固定射影,3,0,混合・補助クラスタ,36,349,0000001010
固定射影,3,0,混合・補助クラスタ,45,58,0000000010
固定射影,3,0,混合・補助クラスタ,45,312,1000000010
固定射影,3,0,混合・補助クラスタ,49,375,0000000100
固定射影,3,0,混合・補助クラスタ,49,378,0000000100
固定射影,3,0,混合・補助クラスタ,70,203,0010000000
固定射影,3,0,混合・補助クラスタ,80,145,0010000000
固定射影,3,0,混合・補助クラスタ,121,381,1000001001
固定射影,3,0,混合・補助クラスタ,142,196,0000000010
固定射影,3,0,混合・補助クラスタ,142,335,0000001000
固定射影,3,0,混合・補助クラスタ,145,348,0010000000
固定射影,3,0,混合・補助クラスタ,160,225,0000000001
固定射影,3,0,混合・補助クラスタ,160,490,0000000001
固定射影,3,0,混合・補助クラスタ,161,446,0000000010
固定射影,3,0,混合・補助クラスタ,168,312,1000000010
固定射影,3,0,混合・補助クラスタ,168,525,0000000010
固定射影,3,0,混合・補助クラスタ,169,393,0000001010
固定射影,3,0,混合・補助クラスタ,190,287,0000000001
固定射影,3,0,混合・補助クラスタ,193,323,0000000001
固定射影,3,0,混合・補助クラスタ,196,197,0000000010
固定射影,3,0,混合・補助クラスタ,203,213,0010000000
固定射影,3,0,混合・補助クラスタ,208,583,0010000000
固定射影,3,0,混合・補助クラスタ,213,552,0010000001
固定射影,3,0,混合・補助クラスタ,218,364,0010000000
固定射影,3,0,混合・補助クラスタ,218,496,0010001100
固定射影,3,0,混合・補助クラスタ,219,568,0000000001
固定射影,3,0,混合・補助クラスタ,237,534,0000000001
固定射影,3,0,混合・補助クラスタ,273,500,0000000001
固定射影,3,0,混合・補助クラスタ,287,491,0000000001
固定射影,3,0,混合・補助クラスタ,295,335,0000001000
固定射影,3,0,混合・補助クラスタ,311,420,0000001100
固定射影,3,0,混合・補助クラスタ,316,323,0000000001
固定射影,3,0,混合・補助クラスタ,369,409,1000000100
